notable_figure,mbti_evsi,mbti_svsn,mbti_tvsf,mbti_pvsj,enneagram,insticnt_variant
116 / 49   21   50  ISTJ1w2Rukia Kuchiki   Bleach,I,S,T,J,1w2,sp/so
117 / 49   20   25  ISTJ1w9Suzune Horikita   Youkoso Jitsuryoku Shijou no Kyoushitsu,I,S,T,J,1w9,sp/so
111 / 25   10   6  ESTJ6w7Joe Swanson   Family Guy (1999),E,S,T,J,6w7,so/sx
166 / 90   42   79  ESFP7w8Villanelle   Killing Eve,E,S,F,P,7w8,sp/sx
398 / 197   143   104  INTP4w5Jughead Jones   Riverdale (2017),I,N,T,P,4w5,sp/sx
439 / 135   183   130  INTP5w4Sherlock Holmes   Sherlock Holmes (Series),I,N,T,P,5w4,sx/sp
205 / 58   42   63  INFJ4w3Nicole Kidman   Actors & Actresses (Oceania),I,N,F,J,4w3,so/sx
126 / 28   21   43  ISTP6w7Artemis   Greco-Roman,I,S,T,P,6w7,sp/so
793 / 390   244   347  ENFP7w6Rapunzel   Tangled (2010),E,N,F,P,7w6,so/sx
110 / 64   10   53  ISTJ1w9Lisa Lisa   JoJo no Kimyou na Bouken,I,S,T,J,1w9,sp/so
"118 / 37   24   40  ESFP7w8Nagatoro   Ijiranaide, Nagatoro-san",E,S,F,P,7w8,sx/so
121 / 33   8   23  INTJ5w6Bruce Wayne   Gotham (2014),I,N,T,J,5w6,sx/sp
116 / 46   23   71  ENFP7w6Alan Ferreira (Alanzoka)   Gaming,E,N,F,P,7w6,so/sx
110 / 34   17   31  ENFJ2w1Emily Sim (Emirichu)   Artists & Animators,E,N,F,J,2w1,so/sp
130 / 53   74   25  INTJ5w6William James Sidis   Mathematics,I,N,T,J,5w6,sp/so
92 / 24   2   13  ISTJ5w6Klaus Baudelaire   A Series of Unfortunate Events (Series),I,S,T,J,5w6,sp/sx
229 / 83   21   78  ISTP8w9James Howlett “Wolverine”   X-Men Cinematic Universe (2000-2009),I,S,T,P,8w9,sp/sx
619 / 228   225   230  INTP5w4Hiccup Haddock   How to Train Your Dragon (Series),I,N,T,P,5w4,sp/so
155 / 84   58   66  INFP9w1Lily Ki (LilyPichu)   Artists & Animators,I,N,F,P,9w1,so/sx
411 / 173   89   133  ENFJ3w2Blossom   The Powerpuff Girls (1998),E,N,F,J,3w2,so/sp
138 / 57   23   28  ESTJ8w7General Grievous   Star Wars,E,S,T,J,8w7,sp/so
"513 / 221   215   221  ENFP4w3Anne Shirley-Cuthbert   Anne with an ""E"" (2017)",E,N,F,P,4w3,so/sx
170 / 85   80   31  ESTJ8w7Naoka Ueno   Koe no Katachi,E,S,T,J,8w7,so/sx
84 / 34   11   16  ESTJ1w2Zelda Spellman   Chilling Adventures of Sabrina (2018),E,S,T,J,1w2,sp/sx
255 / 121   39   104  ENFP4w3Ice King   Adventure Time (2010),E,N,F,P,4w3,sx/so
134 / 23   25   18  ESFP6w7Sophie Turner   Actresses (United Kingdom & Ireland),E,S,F,P,6w7,so/sp
146 / 58   25   48  ISFP4w3Meredith Grey   Grey's Anatomy (2005),I,S,F,P,4w3,sx/so
101 / 31   5   19  ISFJ2w3Yamato   Naruto Shippūden,I,S,F,J,2w3,so/sp
440 / 190   82   250  INTJ5w4Jumin Han   Mystic Messenger,I,N,T,J,5w4,sp/sx
113 / 47   7   19  ISFJ9w1Grover Underwood   Camp Half-Blood Chronicles,I,S,F,J,9w1,so/sp
150 / 49   101   21  ESTP8w7MC Poze Do Rodo   Musicians (Brazil),E,S,T,P,8w7,so/sp
108 / 42   1   50  ISFP9w8Genji Shimada   Overwatch,I,S,F,P,9w8,sx/sp
280 / 158   66   85  ENTJ3w4Louis   Beastars,E,N,T,J,3w4,so/sp
119 / 50   50   45  ISFP6w7Mort   Madagascar (Franchise),I,S,F,P,6w7,sx/so
558 / 192   135   53  ISTJ6w5Ross Geller   Friends (1994),I,S,T,J,6w5,sp/sx
202 / 99   24   176  ENFP4w5Kiki   Majo no Takkyuubin,E,N,F,P,4w5,so/sx
407 / 149   84   96  ISFP4w5Jonathan Byers   Stranger Things (2016),I,S,F,P,4w5,sp/sx
287 / 165   55   100  ESTP8w7Kyouko Sakura   Mahou Shoujo Madoka★Magica,E,S,T,P,8w7,sp/sx
196 / 105   20   187  INFP6w5Courage   Courage the Cowardly Dog (1999),I,N,F,P,6w5,sp/so
175 / 89   31   115  ENTJ8w7Rei Hino (Sailor Mars)   Bishoujo Senshi Sailor Moon,E,N,T,J,8w7,sp/so
526 / 166   191   101  ENFJ6w7Mike Wheeler   Stranger Things (2016),E,N,F,J,6w7,so/sx
208 / 61   35   33  ENTJ1w9Count Dooku   Star Wars,E,N,T,J,1w9,so/sp
91 / 45   6   29  ENTJ3w4Elizabeth I of England   Historical Figures (1500s),E,N,T,J,3w4,sp/so
119 / 41   15   35  INFJ6w7Mel Gibson   Actors (USA),E,N,F,J,6w7,sp/sx
"258 / 105   106   61  ENFJ8w7Tupac Shakur   Musicians (USA, Male)",E,N,F,J,8w7,sx/sp
770 / 286   151   311  INFP9w1Luke Skywalker   Star Wars,I,N,F,P,9w1,sp/so
"154 / 42   15   49  INTJ5w6Stephen Strange ""Doctor Strange""   Marvel Comics",I,N,T,J,5w6,sp/so
179 / 62   57   50  ISTP3w4Yuno Grinberryall   Black Clover,I,S,T,P,3w4,sp/sx
109 / 20   9   15  ENFJ2w1The Oracle   The Matrix Trilogy (The Matrix),E,N,F,J,2w1,so/sp
"278 / 143   148   90  ISFP4w3Lil Peep   Musicians (USA, Male)",I,S,F,P,4w3,sx/sp
144 / 71   24   53  ESFP7w6Kokoro Tsurumaki   BanG Dream! Girls Band Party! (Bandori),E,S,F,P,7w6,so/sx
109 / 36   11   26  ESTP7w8Betelgeuse   Beetlejuice (1988),E,S,T,P,7w8,so/sx
333 / 146   93   77  ISFJ9w1Brian Johnson   The Breakfast Club (1985),I,S,F,J,9w1,so/sp
369 / 101   69   85  ENFP2w3Marshall Eriksen   How I Met Your Mother (2005),E,N,F,P,2w3,so/sx
136 / 67   30   15  ESFP3w4Devi Vishwakumar   Never Have I Ever,E,S,F,P,3w4,so/sp
273 / 81   54   91  INFJ4w3Gellert Grindelwald   Harry Potter / Wizarding World Films,I,N,F,J,4w3,sx/so
179 / 101   42   57  ISTJ8w9Avatar Kyoshi   Avatar: The Last Airbender (2005),I,S,T,J,8w9,sp/sx
107 / 47   6   73  ISTP8w9Haruka Tenou (Sailor Uranus)   Bishoujo Senshi Sailor Moon,I,S,T,P,8w9,sp/sx
432 / 186   156   90  ISTJ3w2Amy Santiago   Brooklyn Nine-Nine,I,S,T,J,3w2,sp/so
191 / 65   36   92  ISTP9w8Hyakkimaru   Dororo,I,S,T,P,9w8,sp/sx
208 / 102   23   19  ESFJ2w3Margaret “Meg” March   Little Women (2019),E,S,F,J,2w3,so/sx
113 / 40   3   12  ESTP3w4Prince Charming   Shrek (Franchise),E,S,T,P,3w4,so/sx
256 / 128   77   53  ESFP7w8Maddy Perez   Euphoria (2019),E,S,F,P,7w8,sx/so
93 / 44   7   12  ISTJ1w9Queen Elizabeth II   The Crown (2016),I,S,T,J,1w9,so/sp
416 / 156   80   173  INFP7w6Alluka Zoldyck   Hunter X Hunter,I,N,F,P,7w6,so/sx
297 / 141   65   110  INTP5w6René Descartes   Philosophy,I,N,T,P,5w6,sp/so
341 / 175   101   85  ESTP8w7Damon Salvatore   The Vampire Diaries,E,S,T,P,8w7,sx/so
508 / 229   335   348  INFP9w1Adrien Agreste “Chat Noir”   Miraculous: Tales of Ladybug & Cat Noir (2015),I,N,F,P,9w1,sp/sx
154 / 91   18   91  ENFJ4w3Neil Perry   Dead Poets Society (1989),E,N,F,J,4w3,so/sx
"140 / 44   30   41  ESTP8w7P!nk   Musicians (USA, Female)",E,S,T,P,8w7,sx/so
100 / 45   34   5  ESFJ2w3Miki Kawai   Koe no Katachi,E,S,F,J,2w3,so/sp
405 / 209   242   161  ENTJ8w9Mustafa KemaI Atatürk   Historical Figures (1900s),E,N,T,J,8w9,so/sx
173 / 79   24   22  ISTP9w8Darryl Philbin   The Office (US) (2005),I,S,T,P,9w8,sp/sx
161 / 49   4   31  ISTJ6w5Hope Van Dyne “Wasp”   Marvel Cinematic Universe,I,S,T,J,6w5,sx/sp
"92 / 41   26   7  ISFJ1w9Prince William, Duke of Cambridge   Royal Family",I,S,F,J,1w9,sx/so
192 / 89   46   91  INTJ5w4Maki Nishikino   Love Live! School Idol Project,I,N,T,J,5w4,sp/sx
99 / 40   17   71  INFJ9w1Kumiko Oumae   Hibike! Euphonium,I,N,F,J,9w1,so/sp
100 / 41   6   15  ISFJ9w1Wendy Torrance   The Shining (1980),I,S,F,J,9w1,sp/sx
82 / 56   15   19  ISFJ9w1Ghostbur (Dream SMP)   Online Fictional Characters,I,S,F,J,9w1,so/sp
617 / 209   266   116  INTJ5w6Mark Zuckerberg   Technology,I,N,T,J,5w6,sp/so
"402 / 146   111   69  ISFJ3w4Beyoncé   Musicians (USA, Female)",I,S,F,J,3w4,sp/sx
1403 / 628   1022   459  ISFP6w7Eren Yeager   Shingeki no Kyojin,I,S,F,P,6w7,sx/so
109 / 53   7   62  ISFP6w5Kanon Matsubara   BanG Dream! Girls Band Party! (Bandori),I,S,F,P,6w5,sp/sx
319 / 177   96   211  INFP4w5Albert Camus   Philosophy,I,N,F,P,4w5,sp/sx
443 / 163   172   291  ENTP3w4Yato   Noragami,E,N,T,P,3w4,so/sx
128 / 48   22   37  ENTJ8w9Atem   Yu-Gi-Oh! Duel Monsters,E,N,T,J,8w9,so/sx
491 / 261   82   270  INTJ1w9Diluc   Genshin Impact,I,N,T,J,1w9,sp/so
107 / 40   16   30  INTP5w4Solas   Dragon Age,I,N,T,P,5w4,sp/sx
150 / 47   9   52  INFP9w1Faramir   The Lord of the Rings,I,N,F,P,9w1,sp/so
306 / 125   118   130  INFP2w1Kenzo Tenma   Monster,I,N,F,P,2w1,so/sp
267 / 115   130   35  ENFP6w7Alex Jones   Political Commentators,E,N,F,P,6w7,sx/so
192 / 50   38   106  ENFJ6w7Emma Stone   Actresses (USA),E,N,F,J,6w7,so/sx
108 / 47   11   40  ISTJ1w2Azusa Nakano   K-On!,I,S,T,J,1w2,sp/sx
115 / 42   10   74  INFJ1w2Kagaya Ubuyashiki   Kimetsu no Yaiba,I,N,F,J,1w2,so/sp
275 / 119   56   76  ISFJ2w3Asami Sato   The Legend of Korra (2012),I,S,F,J,2w3,sp/so
146 / 48   15   46  ISTP6w5Jamie   The Haunting of Bly Manor (2020),I,S,T,P,6w5,sp/sx
187 / 72   42   53  ENFP7w6Philip “Phil” Dunphy   Modern Family (2009),E,N,F,P,7w6,so/sx
116 / 57   9   23  ESFJ2w3Amy Rose   Sonic the Hedgehog,E,S,F,J,2w3,so/sx
143 / 54   16   42  ESFP4w3Elton John   Musicians (United Kingdom & Ireland),E,S,F,P,4w3,sx/so
117 / 45   25   24  ESTP8w7Kisame Hoshigaki   Naruto Shippūden,E,S,T,P,8w7,so/sx
557 / 135   135   93  ESTJ1w9Mycroft Holmes   Sherlock (2010),E,S,T,J,1w9,sp/so
141 / 60   47   79  ENFP8w7Kamina   Tengen Toppa Gurren Lagann,E,N,F,P,8w7,sx/so
145 / 79   11   86  INTP4w5Ritsu Sakuma   Ensemble Stars!,I,N,T,P,4w5,sp/sx
976 / 431   128   352  ENTP7w8Ryuk   Death Note,E,N,T,P,7w8,so/sx
150 / 36   5   27  ISTJ8w9Integra Hellsing   Hellsing Ultimate,I,S,T,J,8w9,sp/sx
98 / 40   31   12  ENTJ3w2Nancy Pelosi   Government (USA),E,N,T,J,3w2,so/sp
1473 / 591   1069   778  INTJ1w9Shoto Todoroki   Boku no Hero Academia,I,N,T,J,1w9,sp/so
250 / 110   22   303  INFP9w1BMO   Adventure Time (2010),I,N,F,P,9w1,so/sx
161 / 75   37   40  ENFJ3w4Kawashima Ami   Toradora!,E,N,F,J,3w4,so/sx
140 / 83   93   43  ISTP6w5Rosaria   Genshin Impact,I,S,T,P,6w5,sp/sx
646 / 303   1059   168  ENTP8w7Tyler Durden   Fight Club (1999),E,N,T,P,8w7,sx/so
138 / 57   24   37  ESFJ2w3Futaba Yoshioka   Ao Haru Ride,E,S,F,J,2w3,so/sx
137 / 33   38   21  ISFP6w5Krystal (Jung Soo Jung)   K-Pop,I,S,T,P,6w5,sp/sx
116 / 65   11   38  INTJ8w9Lust   Fullmetal Alchemist: Brotherhood,I,N,T,J,8w9,sp/sx
113 / 42   33   22  ISTP9w8Adam   Biblical Figures,I,S,T,P,9w8,sp/sx
"180 / 87   57   47  ISFP1w9Chizome Akaguro ""Stain""   Boku no Hero Academia",I,S,F,P,1w9,sx/sp
157 / 75   11   61  ESTP7w8Casey Gardner   Atypical (2017),E,S,T,P,7w8,so/sx
122 / 39   36   35  ISFP6w7Nero   Devil May Cry Series,I,S,F,P,6w7,sp/sx
122 / 54   34   43  ESTP3w4Madison Montgomery   American Horror Story (2011),E,S,T,P,3w4,sp/sx
246 / 108   58   88  ENFJ6w7Bloom   Winx Club (2004),E,N,F,J,6w7,so/sx
145 / 66   25   75  ISFP4w5Lucy   Elfen Lied,I,S,F,P,4w5,sp/sx
158 / 48   29   38  ENFJ2w3Athanasia de Alger Obelia   Who Made Me A Princess,E,N,F,J,2w3,sp/so
103 / 45   15   16  ENFJ3w2Leonard Peabody/Harold Jenkins   The Umbrella Academy (2019),E,N,F,J,3w2,sx/sp
178 / 79   69   48  INFP4w5Dylan Klebold   Criminals,I,N,F,P,4w5,sx/so
"104 / 49   34   25  ESTP6w7Machine Gun Kelly   Musicians (USA, Male)",E,S,T,P,6w7,sx/so
137 / 47   56   64  ISTP5w6Thomas Brodie-Sangster   Actors (United Kingdom & Ireland),I,S,T,P,5w6,sp/sx
380 / 171   40   153  INTJ5w6Annabeth Chase   Camp Half-Blood Chronicles,I,N,T,J,5w6,sp/so
"661 / 283   426   137  ENFP4w3Kanye West   Musicians (USA, Male)",E,N,F,P,4w3,sx/so
376 / 160   56   206  INFP4w5Luna Lovegood   Harry Potter (Book Series),I,N,F,P,4w5,sx/sp
102 / 48   28   3  ISTJ1w2Müge Anlı   Hosts & Presenters,I,S,T,J,1w2,sp/so
283 / 130   36   106  ISFJ9w1Flora   Winx Club (2004),I,S,F,J,9w1,sp/so
309 / 131   114   58  ESFJ2w3Millie Bobby Brown   Actresses (United Kingdom & Ireland),E,S,F,J,2w3,so/sx
662 / 327   215   582  INFP4w5Vincent van Gogh   Artists,I,N,F,P,4w5,sx/sp
76 / 32   28   9  ENFJ6w7Jaune Arc   RWBY (2012),E,N,F,J,6w7,so/sp
458 / 175   89   363  INFP9w1Newt Scamander   Fantastic Beasts,I,N,F,P,9w1,sp/so
116 / 41   18   18  ISFP6w7Jacob Black   Twilight (Franchise),I,S,F,P,6w7,so/sx
287 / 70   43   60  INFP9w1Brandon Stark   Game of Thrones (2011),I,N,F,P,9w1,sp/so
125 / 47   12   64  INFJ1w9Atticus Finch   To Kill a Mockingbird (1962),I,N,F,J,1w9,sp/so
455 / 176   97   98  ENFJ8w9Isabella (Mom)   Yakusoku no Neverland,E,N,F,J,8w9,sp/so
91 / 29   9   20  ISFJ9w8Yasutora “Chad” Sado   Bleach,I,S,F,P,9w8,sp/sx
231 / 110   30   121  ENTP7w8Kuzco   The Emperor's New Groove (2000),E,N,T,P,7w8,sp/so
143 / 66   19   65  INTP5w6Dib Membrane   Invader Zim (2001),I,N,T,P,5w6,sp/so
266 / 109   29   63  ESTJ1w2Ayuzawa Misaki   Kaichou wa Maid-sama!,E,S,T,J,1w2,so/sp
