web-scraper-order,web-scraper-start-url,info-box,info-box-href,name,mbti-evsi,mbti-svsn,mbti-tvsf,mbti-pvsj,enneagram-finder,insticnt-variant
"1615575330-3864","https://www.personality-database.com/personality_type/1","116 / 49   21   50  ISTJ1w2Rukia Kuchiki   Bleach","https://www.personality-database.com/profile/1817/rukia-kuchiki-bleach-mbti-personality-type","","I","S","T","J","1w2","sp/so"
"1615575336-3866","https://www.personality-database.com/personality_type/1","117 / 49   20   25  ISTJ1w9Suzune Horikita   Youkoso Jitsuryoku Shijou no Kyoushitsu","https://www.personality-database.com/profile/10774/suzune-horikita-youkoso-jitsuryoku-shijou-no-kyoushitsu-mbti-personality-type","","I","S","T","J","1w9","sp/so"
"1615574773-3673","https://www.personality-database.com/personality_type/2","111 / 25   10   6  ESTJ6w7Joe Swanson   Family Guy (1999)","https://www.personality-database.com/profile/1301/joe-swanson-family-guy-1999-mbti-personality-type","","E","S","T","J","6w7","so/sx"
"1615572539-2900","https://www.personality-database.com/personality_type/5","166 / 90   42   79  ESFP7w8Villanelle   Killing Eve","https://www.personality-database.com/profile/14361/villanelle-killing-eve-mbti-personality-type","","E","S","F","P","7w8","sp/sx"
"1615565174-998","https://www.personality-database.com/personality_type/13","398 / 197   143   104  INTP4w5Jughead Jones   Riverdale (2017)","https://www.personality-database.com/profile/6196/jughead-jones-riverdale-2017-mbti-personality-type","","I","N","T","P","4w5","sp/sx"
"1615565203-1005","https://www.personality-database.com/personality_type/13","439 / 135   183   130  INTP5w4Sherlock Holmes   Sherlock Holmes (Series)","https://www.personality-database.com/profile/7552/sherlock-holmes-sherlock-holmes-series-mbti-personality-type","","I","N","T","P","5w4","sx/sp"
"1615569045-1937","https://www.personality-database.com/personality_type/9","205 / 58   42   63  INFJ4w3Nicole Kidman   Actors & Actresses (Oceania)","https://www.personality-database.com/profile/6258/nicole-kidman-actors-actresses-oceania-mbti-personality-type","","I","N","F","J","4w3","so/sx"
"1615569731-2095","https://www.personality-database.com/personality_type/8","126 / 28   21   43  ISTP6w7Artemis   Greco-Roman","https://www.personality-database.com/profile/5185/artemis-grecoroman-mbti-personality-type","","I","S","T","P","6w7","sp/so"
"1615566401-1285","https://www.personality-database.com/personality_type/12","793 / 390   244   347  ENFP7w6Rapunzel   Tangled (2010)","https://www.personality-database.com/profile/825/rapunzel-tangled-2010-mbti-personality-type","","E","N","F","P","7w6","so/sx"
"1615575285-3845","https://www.personality-database.com/personality_type/1","110 / 64   10   53  ISTJ1w9Lisa Lisa   JoJo no Kimyou na Bouken","https://www.personality-database.com/profile/19091/lisa-lisa-jojo-no-kimyou-na-bouken-mbti-personality-type","","I","S","T","J","1w9","sp/so"
"1615572307-2823","https://www.personality-database.com/personality_type/5","118 / 37   24   40  ESFP7w8Nagatoro   Ijiranaide, Nagatoro-san","https://www.personality-database.com/profile/20459/nagatoro-ijiranaide-nagatorosan-mbti-personality-type","","E","S","F","P","7w8","sx/so"
"1615562719-308","https://www.personality-database.com/personality_type/15","121 / 33   8   23  INTJ5w6Bruce Wayne   Gotham (2014)","https://www.personality-database.com/profile/1805/bruce-wayne-gotham-2014-mbti-personality-type","","I","N","T","J","5w6","sx/sp"
"1615565391-1045","https://www.personality-database.com/personality_type/12","116 / 46   23   71  ENFP7w6Alan Ferreira (Alanzoka)   Gaming","https://www.personality-database.com/profile/24988/alan-ferreira-alanzoka-gaming-mbti-personality-type","","E","N","F","P","7w6","so/sx"
"1615567843-1636","https://www.personality-database.com/personality_type/10","110 / 34   17   31  ENFJ2w1Emily Sim (Emirichu)   Artists & Animators","https://www.personality-database.com/profile/42218/emily-sim-emirichu-artists-animators-mbti-personality-type","","E","N","F","J","2w1","so/sp"
"1615562776-327","https://www.personality-database.com/personality_type/15","130 / 53   74   25  INTJ5w6William James Sidis   Mathematics","https://www.personality-database.com/profile/31070/william-james-sidis-mathematics-mbti-personality-type","","I","N","T","J","5w6","sp/so"
